DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,CIRCUNSCRIPCION_CODIGO,CICUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,JUNTA_SEXO,CANDIDATO_CODIGO,SUFRAGANTES,BLANCOS,NULOS,VOTOS,CANDIDATO_NOMBRE,OP_CODIGO
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5930.0,SAN BLAS,F,14982.0,9254.0,467.0,1113.0,1693.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,5930.0,SAN BLAS,M,14982.0,7920.0,375.0,945.0,1232.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,6010.0,SAN SEBASTIAN,F,14982.0,14050.0,980.0,1640.0,2385.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,6010.0,SAN SEBASTIAN,M,14982.0,12776.0,706.0,1400.0,1830.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,6090.0,SUCRE,F,14982.0,9450.0,528.0,969.0,1729.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,6090.0,SUCRE,M,14982.0,8456.0,392.0,829.0,1281.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,6865.0,HERMANO MIGUEL,F,14982.0,4106.0,340.0,527.0,577.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,,6865.0,HERMANO MIGUEL,M,14982.0,3595.0,230.0,443.0,393.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,285.0,BAÑOS,F,14982.0,9736.0,1001.0,1097.0,1137.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,285.0,BAÑOS,M,14982.0,8445.0,655.0,827.0,916.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,730.0,CUMBE,F,14982.0,2592.0,402.0,299.0,97.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,730.0,CUMBE,M,14982.0,1972.0,202.0,216.0,76.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,845.0,CHAUCHA / ANGAS,F,14982.0,504.0,184.0,48.0,95.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,845.0,CHAUCHA / ANGAS,M,14982.0,523.0,176.0,77.0,76.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,860.0,CHECA JIDCAY,F,14982.0,1088.0,166.0,118.0,80.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,860.0,CHECA JIDCAY,M,14982.0,867.0,101.0,100.0,40.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,905.0,CHIQUINTAD,F,14982.0,1749.0,224.0,208.0,158.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,905.0,CHIQUINTAD,M,14982.0,1418.0,142.0,168.0,89.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2255.0,LLACAO,F,14982.0,1695.0,225.0,208.0,258.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2255.0,LLACAO,M,14982.0,1482.0,176.0,163.0,167.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2430.0,MOLLETURO,F,14982.0,2672.0,485.0,350.0,134.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2430.0,MOLLETURO,M,14982.0,2596.0,542.0,321.0,102.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2570.0,MULTI /  NULTI,F,14982.0,2021.0,232.0,190.0,544.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2570.0,MULTI /  NULTI,M,14982.0,1830.0,219.0,189.0,406.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2595.0,OCTAVIO CORDERO PALACIOS,F,14982.0,836.0,147.0,158.0,131.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2595.0,OCTAVIO CORDERO PALACIOS,M,14982.0,649.0,91.0,92.0,81.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2680.0,PACCHA,F,14982.0,1966.0,265.0,177.0,234.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,2680.0,PACCHA,M,14982.0,1649.0,181.0,145.0,187.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3105.0,QUINGEO,F,14982.0,2669.0,555.0,361.0,162.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3105.0,QUINGEO,M,14982.0,2120.0,351.0,218.0,147.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3165.0,RICAURTE,F,14982.0,7346.0,769.0,871.0,1049.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3165.0,RICAURTE,M,14982.0,6614.0,587.0,808.0,782.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3460.0,SAN JOAQUIN,F,14982.0,3683.0,380.0,425.0,492.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3460.0,SAN JOAQUIN,M,14982.0,3294.0,254.0,328.0,374.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3685.0,SANTA ANA,F,14982.0,2443.0,495.0,291.0,478.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3685.0,SANTA ANA,M,14982.0,2046.0,258.0,239.0,339.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3795.0,SAYAUSI,F,14982.0,4854.0,569.0,595.0,562.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3795.0,SAYAUSI,M,14982.0,4096.0,360.0,470.0,399.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3850.0,SIDCAY,F,14982.0,1523.0,245.0,248.0,278.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3850.0,SIDCAY,M,14982.0,1062.0,110.0,132.0,173.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3870.0,SININCAY,F,14982.0,4645.0,762.0,534.0,590.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3870.0,SININCAY,M,14982.0,3639.0,397.0,427.0,389.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3980.0,TARQUI,F,14982.0,4070.0,452.0,539.0,351.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,3980.0,TARQUI,M,14982.0,3333.0,263.0,386.0,260.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,4095.0,TURI,F,14982.0,2797.0,339.0,308.0,247.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,4095.0,TURI,M,14982.0,2339.0,211.0,255.0,181.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,4200.0,VALLE,F,14982.0,7051.0,701.0,808.0,949.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,4200.0,VALLE,M,14982.0,6062.0,490.0,539.0,701.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,4225.0,VICTORIA DEL PORTETE,F,14982.0,1998.0,255.0,206.0,95.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,260.0,CUENCA,0.0,0.0,CIRCUNSCRIPCION RURAL,4225.0,VICTORIA DEL PORTETE,M,14982.0,1555.0,147.0,140.0,82.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,1005.0,DANIEL CORDOVA TORAL,F,14982.0,723.0,141.0,105.0,92.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,1005.0,DANIEL CORDOVA TORAL,M,14982.0,493.0,83.0,57.0,81.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,1760.0,LUIS CORDERO VEGA,F,14982.0,255.0,73.0,28.0,26.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,1760.0,LUIS CORDERO VEGA,M,14982.0,187.0,37.0,23.0,26.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,1805.0,JADAN,F,14982.0,1702.0,209.0,198.0,917.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,1805.0,JADAN,M,14982.0,1370.0,140.0,109.0,794.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,2385.0,MARIANO MORENO/CALLASAY,F,14982.0,795.0,190.0,118.0,90.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,2385.0,MARIANO MORENO/CALLASAY,M,14982.0,622.0,93.0,94.0,71.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,3160.0,REMIGIO CRESPO TORAL,F,14982.0,363.0,112.0,30.0,47.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,3160.0,REMIGIO CRESPO TORAL,M,14982.0,294.0,76.0,27.0,32.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,3505.0,SAN JUAN,F,14982.0,1968.0,474.0,293.0,314.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,3505.0,SAN JUAN,M,14982.0,1276.0,188.0,179.0,242.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,3780.0,SIMON BOLIVAR,F,14982.0,289.0,66.0,28.0,65.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,3780.0,SIMON BOLIVAR,M,14982.0,235.0,29.0,19.0,47.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,4340.0,ZHIDMAD,F,14982.0,1021.0,195.0,147.0,271.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,4340.0,ZHIDMAD,M,14982.0,843.0,119.0,122.0,254.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,5420.0,GUALACEO,F,14982.0,9686.0,1197.0,1329.0,1592.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,265.0,GUALACEO,0.0,0.0,,5420.0,GUALACEO,M,14982.0,8065.0,755.0,948.0,1237.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,270.0,GIRON,0.0,0.0,,175.0,ASUNCION,F,14982.0,942.0,127.0,83.0,92.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,270.0,GIRON,0.0,0.0,,175.0,ASUNCION,M,14982.0,849.0,87.0,66.0,63.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,270.0,GIRON,0.0,0.0,,885.0,SAN GERARDO,F,14982.0,197.0,24.0,10.0,26.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,270.0,GIRON,0.0,0.0,,885.0,SAN GERARDO,M,14982.0,170.0,20.0,15.0,16.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,270.0,GIRON,0.0,0.0,,5395.0,GIRON,F,14982.0,3809.0,546.0,438.0,343.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,270.0,GIRON,0.0,0.0,,5395.0,GIRON,M,14982.0,3223.0,400.0,357.0,245.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,395.0,BULAN / J. VICTOR IZQUIERD,F,14982.0,513.0,91.0,63.0,99.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,395.0,BULAN / J. VICTOR IZQUIERD,M,14982.0,458.0,75.0,39.0,71.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,870.0,CHICAN / GUILLERMO ORTEGA,F,14982.0,881.0,113.0,109.0,217.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,870.0,CHICAN / GUILLERMO ORTEGA,M,14982.0,721.0,85.0,81.0,174.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,890.0,DUG-DUG,F,14982.0,511.0,87.0,36.0,77.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,890.0,DUG-DUG,M,14982.0,385.0,55.0,26.0,50.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,1455.0,GUARAINAC,F,14982.0,357.0,35.0,50.0,64.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,1455.0,GUARAINAC,M,14982.0,394.0,53.0,39.0,63.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,3375.0,SAN CRISTOBAL,F,14982.0,794.0,102.0,96.0,120.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,3375.0,SAN CRISTOBAL,M,14982.0,672.0,80.0,101.0,98.0,MARIA CECILIA ALVARADO CARRION,677.0
2.0,PREFECTO Y VICEPREFECTO,1.0,AZUAY,275.0,PAUTE,0.0,0.0,,4050.0,TOMEBAMBA,F,14982.0,499.0,80.0,56.0,119.0,MARIA CECILIA ALVARADO CARRION,677.0
